n_recs,evals_Linear Regression_rmse,evals_Linear Regression_mae,evals_Linear Regression_r2,evals_Decision Tree_rmse,evals_Decision Tree_mae,evals_Decision Tree_r2,evals_Random Forest_rmse,evals_Random Forest_mae,evals_Random Forest_r2,evals_Gradient Boosted Tree_rmse,evals_Gradient Boosted Tree_mae,evals_Gradient Boosted Tree_r2
1470,0.0375,0.0289,0.4397,0.017,0.0084,0.8842,0.0222,0.0155,0.8036,0.0147,0.0063,0.9136
1480,0.0375,0.0289,0.4397,0.0174,0.0085,0.8798,0.0219,0.0147,0.8085,0.0148,0.0063,0.9128
1490,0.0375,0.0288,0.4398,0.018,0.009,0.8713,0.0216,0.0146,0.8139,0.0141,0.0061,0.9204
1500,0.0376,0.0288,0.4363,0.0173,0.0087,0.8802,0.0216,0.0145,0.814,0.0142,0.0061,0.9198
1510,0.0376,0.0288,0.4341,0.0182,0.0089,0.868,0.0206,0.013,0.8302,0.0147,0.0064,0.9129
1520,0.0376,0.0288,0.4349,0.0184,0.0089,0.8651,0.0212,0.0136,0.8208,0.0145,0.0062,0.9165
1530,0.0376,0.0287,0.4353,0.0185,0.009,0.8635,0.0217,0.0145,0.8127,0.0149,0.0063,0.9121
1540,0.0377,0.0287,0.4355,0.0187,0.009,0.8612,0.0219,0.0146,0.81,0.0151,0.0062,0.9094
1550,0.0377,0.0287,0.4339,0.0188,0.0091,0.8599,0.0226,0.0156,0.796,0.0153,0.0064,0.9064
1560,0.0374,0.0287,0.4384,0.0183,0.009,0.8657,0.0217,0.0144,0.8101,0.0148,0.0064,0.9123
1570,0.0374,0.0287,0.4385,0.0185,0.0091,0.8621,0.0222,0.0145,0.8014,0.0153,0.0064,0.9064
1580,0.0375,0.0287,0.4365,0.0178,0.0089,0.8729,0.0222,0.0153,0.8029,0.015,0.0065,0.9099
1590,0.0375,0.0287,0.4372,0.0182,0.009,0.8677,0.0219,0.0144,0.8084,0.0147,0.0064,0.9132
1600,0.0374,0.0286,0.4401,0.0181,0.0089,0.8687,0.0206,0.0133,0.83,0.0147,0.0063,0.913
1610,0.0374,0.0287,0.4417,0.0186,0.009,0.8618,0.0219,0.0147,0.8083,0.0158,0.0064,0.9003
1620,0.0374,0.0287,0.4411,0.0186,0.0089,0.8617,0.0216,0.0144,0.8137,0.0154,0.0064,0.9056
1630,0.0374,0.0287,0.4424,0.0184,0.0089,0.8648,0.0218,0.014,0.8103,0.016,0.0065,0.8984
1640,0.0373,0.0287,0.4425,0.0189,0.0092,0.8572,0.0218,0.0138,0.8102,0.0156,0.0065,0.9032
1650,0.0375,0.0287,0.4412,0.0184,0.009,0.8651,0.0211,0.0138,0.8223,0.0153,0.0063,0.9071
