Datetime|TBH_40|TBV_40|TBH_45|TBV_45|TBH_50|TBV_50|TBH_55|TBV_55|TBH_60|TBV_60|TBH_65|TBV_65|TBH_70|TBV_70|Avg_SM_LC|Avg_STS_LC|Avg_STD_LC|LAI_hants
8/8/2016 7:45|244.76736|254.87828|242.03232|255.8512|236.9533|255.0369|228.72023|252.62524|219.08755|248.86249|206.58159|242.8367|190.15091|231.58185|0.19408947|285.48334|289.11874|5.95
8/8/2016 8:00|245.19107|255.35936|242.6118|256.6413|237.69212|256.13028|229.968|254.28297|221.02214|251.36853|209.59691|246.24336|194.18764|235.53345|0.19408421|285.38333|289.0625|5.95
8/8/2016 8:15|245.47253|256.35126|243.15263|258.0231|238.81184|257.8198|232.13107|256.30014|224.67757|253.99564|214.51306|248.67291|200.26361|237.64871|0.19397369|285.68335|289.04376|5.95
8/8/2016 8:30|246.06505|257.21292|244.17352|259.1467|240.2604|259.05243|233.85602|257.308|226.64899|254.74934|216.77019|249.43019|202.30183|238.13214|0.19393158|285.68332|289.00626|5.95
8/8/2016 8:45|246.3728|257.53378|244.48541|259.5446|240.56061|259.24213|234.30064|257.7177|226.87363|254.77034|217.03687|249.4718|202.239|237.73074|0.19386841|285.85|288.98126|5.95
8/8/2016 9:00|246.70801|257.91425|244.84462|259.90347|240.86208|259.55075|234.63992|257.8632|227.10756|254.92033|216.87244|249.08902|201.79544|237.0947|0.19397369|286.18335|288.9625|5.95
8/8/2016 9:15|247.06757|258.24557|245.1441|259.98337|241.18578|259.69345|234.64125|257.68564|226.91286|254.4303|216.51291|248.36641|201.06992|236.41862|0.19391578|286.44998|288.93124|5.95
8/8/2016 9:30|247.28215|258.36642|245.40855|260.2472|241.3064|259.7103|234.52728|257.5389|226.6332|254.14961|215.81306|247.98468|199.77545|235.58568|0.19385263|286.85|288.925|5.95
8/8/2016 9:45|247.4235|258.75723|245.50264|260.3858|241.11244|259.9397|234.02156|257.5642|225.95085|254.23822|214.54251|247.6981|198.15062|235.39745|0.19384737|287.38333|288.88126|5.95
8/8/2016 10:00|247.53204|259.03687|245.52806|260.8081|240.86952|260.21185|233.4374|257.89386|224.75845|254.27089|212.92795|247.765|196.01294|235.66005|0.19384737|288.05|288.875|5.95
8/8/2016 10:15|247.6697|259.4169|245.56796|261.21317|240.71783|260.7074|232.9231|258.426|223.91963|254.8947|211.64412|248.4255|194.48392|236.05743|0.19384737|288.88333|288.8875|5.94
8/8/2016 10:30|247.58423|259.8676|245.26553|261.63666|240.2968|261.23544|232.12645|258.9155|222.7949|255.49864|210.31319|248.91632|192.96469|236.87695|0.19386841|289.55002|288.86874|5.94
8/8/2016 10:45|247.43646|260.29175|245.01346|261.9353|239.63814|261.7074|231.22708|259.356|221.7877|255.95474|209.23859|249.68854|191.69363|237.59007|0.19398421|289.88333|288.875|5.94
8/8/2016 11:00|247.32077|260.7985|244.72331|262.505|239.08119|262.21835|230.68181|260.20496|221.0941|256.7415|208.25912|250.53784|190.69048|238.34785|0.19396842|291.01666|288.88126|5.94
8/8/2016 11:15|247.04553|260.9476|244.30383|262.84665|238.49811|262.42303|229.94513|260.50598|220.0439|257.1926|207.24368|251.01823|189.5133|238.69426|0.19398947|291.65|288.89374|5.94
8/8/2016 11:30|247.12921|261.60764|244.28722|263.6489|238.46576|263.2978|229.6603|261.46844|219.58813|258.06094|206.67989|251.94356|188.98018|239.792|0.194|291.45|288.91876|5.94
8/8/2016 11:45|246.92894|261.94144|244.15504|264.01657|238.11934|263.87903|229.06003|261.85608|219.01619|258.70273|206.0654|252.6549|188.46046|240.63214|0.19391578|291.81668|288.925|5.94
8/8/2016 12:00|246.9238|262.64218|244.03816|264.58212|237.96594|264.70367|228.6546|262.72168|218.50673|259.62823|205.55905|253.82388|187.7701|241.54926|0.19397368|293.35|288.95|5.94
8/8/2016 12:15|246.78706|262.73175|243.95903|265.17627|237.66493|265.11957|228.54234|263.36966|218.37677|260.44376|205.22229|254.3908|187.42183|242.39891|0.19399473|294.71667|288.9875|5.94
8/8/2016 12:30|246.9077|263.3487|243.99521|265.7455|237.7259|265.68594|228.2665|263.92032|217.54868|260.0611|204.16312|253.75034|186.62679|241.71448|0.19393158|295.51666|289.03125|5.94
8/8/2016 12:45|247.2282|264.02075|244.14282|266.29028|237.6639|266.09518|228.12842|264.55627|217.88025|261.54025|204.70372|255.79414|187.01546|243.5982|0.19387369|296.31665|289.075|5.94
8/8/2016 13:00|247.1011|264.2724|244.05753|266.44315|237.67006|266.56528|228.23709|264.96283|217.97958|262.0061|204.83566|256.0528|186.96231|244.0024|0.19373158|296.85|289.1375|5.94
8/8/2016 13:15|247.16553|264.3788|243.8972|266.6828|237.57733|266.86346|228.1213|265.19324|217.81032|262.2051|204.75858|256.3113|187.19777|244.48476|0.19369474|297.25|289.175|5.94
8/8/2016 13:30|247.27634|264.89493|244.16849|267.10187|237.90825|267.19904|228.33443|265.6454|218.26672|262.75867|204.9054|256.763|187.28534|244.9197|0.19361052|297.95|289.2375|5.94
8/8/2016 13:45|247.47766|265.32193|244.35599|267.61783|237.7236|267.54718|228.51228|266.0885|218.2498|263.21442|205.09195|257.28696|187.44627|245.4122|0.19348948|298.08334|289.29376|5.94
8/8/2016 14:00|247.72047|265.5352|244.52925|267.73904|237.97096|267.94754|228.55098|266.11655|218.35266|263.53333|205.33751|257.7552|187.72418|245.67679|0.19338422|298.48334|289.35|5.94
8/8/2016 14:15|247.72548|265.59433|244.61703|267.9407|238.16434|268.1412|228.75758|266.77322|218.59785|264.00284|205.70575|258.11166|188.20413|246.29446|0.19326842|298.35|289.41876|5.94
